IdCodigoBarras;IdProducto;CodigoBarras;ID_Sucursal
2;1297;7703752040081;30569
3;1533;7501050614283;30569
4;9029;7707200908879;30569
5;7766;7702010111587;30569
6;7614;7704768000281;30569
7;7208;4005808209996;30569
8;9848;7707035540206;30569
9;8388;7702003005473;30569
10;8026;7702027444838;30569
11;1663;7702057214777;30569
12;432;7702184010082;30569
13;839;7703763030224;30569
14;2473;7703153017378;30569
15;3210;7707200909159;30569
16;7516;7707200909456;30569
18;8053;7702354936334;30569
19;8011;7702057061371;30569
21;12141;7707195401034;30569
22;8487;7702010130625;30569
25;5911;7501001244262;30569
26;4359;7707145301278;30569
27;5071;7506078926929;30569
28;8249;6932177468496;30569
29;5122;7707228361038;30569
30;4603;7702031241522;30569
32;7229;;30569
33;3552;7702123007425;30569
34;7232;7703234102658;30569
35;10301;7703038066606;30569
39;8040;7703197050256;30569
40;4611;7891010046859;30569
41;7293;7703712030558;30569
42;3065;7702123001348;30569
44;4578;7891010031145;30569
45;3826;7707260160934;30569
46;8665;7707260160088;30569
47;8122;7702215301486;30569
48;7417;7707019422207;30569
50;8141;7509552903348;30569
51;9797;7501001164645;30569
53;9020;7702189051783;30569
54;9022;7702152101590;30569
56;11335;2299;30569
57;6740;7703166003085;30569
58;2399;7707200900064;30569
59;9832;7702001045310;30569
61;8679;2020;30569
62;11570;39;30569
63;11679;7705959000141;30569
64;8493;7891010870713;30569
65;8190;7506309840581;30569
66;11576;44;30569
67;7972;7704412100824;30569
68;8024;7702027444821;30569
69;7888;7702184011775;30569
70;11235;3158;30569
71;3274;7702195712906;30569
72;7891;7703432422251;30569
73;7912;7703763190164;30569
74;7389;7707019482126;30569
76;12423;7702037103497;30569
77;4556;7702560000324;30569
79;11696;7500435131025;30569
81;351;7702195004681;30569
82;7296;7703712031845;30569
83;7298;7703712031869;30569
84;7299;7703712031876;30569
85;4998;7501035908727;30569
86;10693;7702354945329;30569
87;10274;7707670402150;30569
88;1033;7706569001269;30569
92;2112;7703763188031;30569
94;7757;75920036;30569
95;5744;7702560026232;30569
97;7892;7703432421605;30569
99;1395;7704588000683;30569
100;12224;7704768001745;30569
102;12483;7704768003947;30569
103;8745;7702132019556;30569
104;29;7896641811715;30569
105;7847;7891010960346;30569
106;11282;1876;30569
107;9960;7707357700289;30569
108;10373;7702044262675;30569
109;9192;7702027440243;30569
110;9192;44024;30569
111;7482;7702560039324;30569
112;8591;7702354937386;30569
113;5198;7501001280031;30569
114;7511;7707200902716;30569
115;608;7702605102617;30569
116;1206;7703987010026;30569
117;9067;7450077073897;30569
118;8547;7703454122764;30569
120;9133;7702024047131;30569
121;9715;;30569
122;1035;7706569000118;30569
123;7537;7704768000274;30569
124;8513;7891010615987;30569
125;8217;7506306244177;30569
126;8473;7702277136965;30569
127;8467;7702433279222;30569
128;8475;7509546073453;30569
130;8213;7791293025537;30569
131;9843;2094;30569
133;9313;7509552887518;30569
134;11708;0968;30569
136;8482;7891024316207;30569
137;9533;7702678050853;30569
138;11341;5207;30569
139;8486;7793100151224;30569
140;2202;7706569009579;30569
143;8214;503;30569
144;7246;7703234104614;30569
145;5057;7591083011081;30569
146;5058;7591083011098;30569
147;7464;7707200907933;30569
148;8859;7702045553208;30569
149;10189;7707145303982;30569
150;10492;7506205812651;30569
151;8495;7891010871031;30569
152;8494;7702031220824;30569
153;8505;7702031618119;30569
154;8496;7702031668435;30569
155;8497;7702031668442;30569
156;8498;7702031998143;30569
157;8499;7702031998150;30569
158;9494;7705713210007;30569
159;7753;7702010420887;30569
160;8502;7702031413448;30569
