IdCodigoBarras;IdProducto;CodigoBarras;ID_Sucursal
1;7732;7707200909128;30571
2;7805;7704412828551;30571
3;1533;7501050614283;30571
4;308;7703381004058;30571
5;326;7861004501206;30571
6;4487;7702045529500;30571
7;7208;4005808209996;30571
8;10695;7707223662291;30571
9;3043;7703381004348;30571
10;7816;7707260160071;30571
11;1597;7702057070922;30571
13;3065;7702123001348;30571
15;9997;7891010792077;30571
16;80;7707236672041;30571
17;8479;7501001309077;30571
18;10431;200036657;30571
19;8005;7707019313123;30571
20;1951;7702057075279;30571
21;11826;7707200901474;30571
22;9380;7703819140167;30571
23;7067;7891000078969;30571
24;7853;7800061138109;30571
25;10008;7707035510650;30571
26;9481;7703454120128;30571
27;2262;7861073963455;30571
28;1306;300090422073;30571
29;7700;7707234230311;30571
31;1840;7703381001415;30571
32;3071;7702065111990;30571
33;7537;7702123005506;30571
34;5753;7509546029139;30571
35;8564;7707177970244;30571
36;3745;7703752010305;30571
37;2745;7703153020286;30571
38;4724;7707145300028;30571
39;7420;7702502016154;30571
40;12216;7702003006074;30571
41;9964;7707184600943;30571
42;5095;7702003247125;30571
43;8264;7899026462663;30571
44;7621;7702006920735;30571
45;7420;7702123008897;30571
46;5126;7702796817000;30571
47;11701;100022264;30571
48;6988;7613032814304;30571
49;5009;4005808850617;30571
51;7023;7702018037896;30571
52;4611;7891010046859;30571
53;8227;7703712030855;30571
54;10091;7702010972300;30571
55;8261;7899026462571;30571
56;9507;7702354937386;30571
57;10432;7703712032736;30571
58;4641;7702433239103;30571
59;4040;7702035457387;30571
60;3096;;30571
61;9010;7707016405043;30571
62;1684;7702057167806;30571
63;5802;7501056334949;30571
64;8489;7707200906592;30571
65;4021;7702006051118;30571
66;9088;7891150008816;30571
67;1276;7703283400330;30571
68;8824;872237005277;30571
69;7347;7702018054015;30571
70;7544;7702123007890;30571
71;7165;7702502018165;30571
72;10134;7803510002129;30571
74;285;7703381002467;30571
75;292;7703381003242;30571
76;1336;7703153003333;30571
77;9331;7702425802643;30571
78;5601;7702027440175;30571
79;2824;7706440000664;30571
80;8381;7702027478772;30571
81;9456;7702057060695;30571
82;1043;7702870001707;30571
83;10696;7707341100071;30571
84;3328;7702035915566;30571
85;5764;770201042050477;30571
86;651;7707172685778;30571
87;9101;7707062800175;30571
88;4866;7702027494710;30571
89;12332;7702277072416;30571
90;7836;7707062800267;30571
91;7743;;30571
92;10099;;30571
93;603;7702605103133;30571
94;11904;7702184011775;30571
95;9034;7703432425832;30571
96;8416;7702132110604;30571
97;10759;7702057072025;30571
98;7033;7506195126493;30571
99;1576;7702057070144;30571
100;9574;7707332980453;30571
101;7994;7707019379464;30571
102;1751;7702132004484;30571
103;7256;7702425549777;30571
